sitename,wsite,clay,sand,init_soc,study_years
Breton,Breton,26,12,45,35
Ellerslie_Solberg,Ellerslie,39,17,165,26
Harrow_CC,Ottawa,37,28,80,18
Harrow_CS,Ottawa,37,28,80,13
IndianHead,SwiftCurrent,63,16,40,46
Lethbridge_E001,Lethbridge,31,46,58,81
Lethbridge_E008,Lethbridge,25,45,60.8,42
Ottawa,Ottawa,53.3,52.1,95,21
SwiftCurrent_NewRot,SwiftCurrent,27.6,33,25,16
SwiftCurrent_oldRot,SwiftCurrent,27.6,33,25,36
SwiftCurrent_OldRot,SwiftCurrent,27.6,33,25,36
