JulianDay, ClimateParameter, InputTemperature,InputPrecipitation,InputEvapotranspiration,GreenAreaIndex, SurfaceTemperature, SoilTemperature, CropCoefficient, CropInterception, VolumetricSoilWaterContent, ActualEvapotranspiration, DeepPercolation, ReferenceEvapotranspiration, SoilAvailableWater, WaterStorage, ClimateParamterTemperature, ClimateParameterWater, FieldCapacity, WiltingPoint
46,0.0428044828203768,-2.35,0.56,0, 1.38647188213497E-11,-0.47,-1.09655031034839, 0.800000000001179, 0, 0.370834619555102, 0, 0.280000000000001, 0, 0.56, 92.9886548887755, 0.005620958769003, 0.800809897096832, 0.369714619555102, 0.227997481880444
47,0.0477044144170201,-15.56,1.22,0, 2.08568145640938E-11,-3.112,-1.48765734360989, 0.800000000001773, 0, 0.371954619555102, 0, 0.560000000000002, 0, 1.22, 93.6486548887755, 0.00631055598925669, 0.794953127526997, 0.369714619555102, 0.227997481880444
48,0.0342075889669906,-11.61,0.76,0, 3.12706742191663E-11,-2.322,-1.64956527053023, 0.800000000002658, 0, 0.374594619555102, 0, 1.22, 0, 0.76, 93.1886548887755, 0.00460510759228266, 0.78114788496953, 0.369714619555102, 0.227997481880444
49,0.029910014933933,-7.61,0.22,0, 4.67281795470828E-11,-1.522,-1.62481065881243, 0.800000000003972, 0, 0.372754619555102, 0, 0.760000000000005, 0, 0.22, 92.6486548887755, 0.00397756399638356, 0.790769720691401, 0.369714619555102, 0.227997481880444
50,0.0310463475304816,-7.99,0.03,0, 6.95941653363088E-11,-1.598,-1.61960793046765, 0.800000000005916, 0, 0.370594619555102, 0, 0.219999999999999, 0, 0.03, 92.4586548887755, 0.00407053572393559, 0.802064919147511, 0.369714619555102, 0.227997481880444
51,0.031351001604695,-2.88,2.75,0, 1.03304478805553E-10,-0.576,-1.41709114046091, 0.800000000008781, 0, 0.369834619555102, 0, 0.0300000000000011, 0, 2.75, 95.1786548887755, 0.00409021237451742, 0.806039155641327, 0.369714619555102, 0.227997481880444
52,0.0348569879161307,-3.34,0.05,0, 1.52833241035738E-10,-0.668,-1.27172665178792, 0.800000000012991, 0, 0.380714619555102, 0, 2.75, 0, 0.05, 92.4786548887755, 0.00489299363527694, 0.749144822677219, 0.369714619555102, 0.227997481880444
53,0.0422386994740645,-3.78,0.66,0, 2.25355855416061E-10,-0.756,-1.17164758666209, 0.800000000019155, 0, 0.369914619555102, 0, 0.0499999999999972, 0, 0.66, 93.0886548887755, 0.00551353881903544, 0.805620814957768, 0.369714619555102, 0.227997481880444
54,0.0449531321527347,-2.27,0.16,0, 3.31186192540062E-10,-0.454,-1.03238486034609, 0.800000000028151, 0, 0.372354619555102, 0, 0.659999999999997, 0, 0.16, 92.5886548887755, 0.00596229206445854, 0.792861424109199, 0.369714619555102, 0.227997481880444
55,0.0505394465056789,0.95,0.18,0, 4.85096286024075E-10,1.06020555380551,-0.626308324248202, 0.800000000041233, 0, 0.370354619555102, 0, 0.159999999999997, 0, 0.18, 92.6086548887755, 0.00661595451820855, 0.80331994119819, 0.369714619555102, 0.227997481880444
56,0.0665473734892934,0.12,0.62,0, 7.08167560065297E-10,0.133920701531905,-0.47878247908911, 0.800000000060194, 0, 0.370434619555102, 0, 0.180000000000007, 0, 0.62, 93.0486548887755, 0.00871603916550741, 0.80290160051463, 0.369714619555102, 0.227997481880444
57,0.072083150290767,-3.52,6.23,0, 1.03037772000613E-09,-0.704,-0.522486947070077, 0.800000000087582, 0, 0.372194619555102, 0, 0.620000000000005, 0, 6.23, 98.6586548887755, 0.00955056340978406, 0.793698105476318, 0.369714619555102, 0.227997481880444
58,0.0598103344838775,-8.32,3.15,0, 1.49420175355892E-09,-1.664,-0.744002664259329, 0.800000000127007, 0, 0.394634619555102, 0, 6.23, 0, 3.15, 95.5786548887755, 0.00929935953253825, 0.676353543737845, 0.369714619555102, 0.227997481880444
59,0.0569011423704417,-8.37,1.65,0, 2.15960525670457E-09,-1.674,-0.924472809792368, 0.800000000183567, 0, 0.382314619555102, 0, 3.15000000000001, 0, 1.65, 94.0786548887755, 0.0080776211752082, 0.740778009006026, 0.369714619555102, 0.227997481880444
60,0.0524694377044902,-7.9,1.52,0, 3.11094162435562E-09,-1.58,-1.05168079507819, 0.80000000026443, 0, 0.376314619555102, 0, 1.65000000000001, 0, 1.52, 93.9486548887755, 0.00714584035208411, 0.772153560272998, 0.369714619555102, 0.227997481880444
61,0.0480674291001645,-7.7,1.32,0, 4.4664420072343E-09,-1.54,-1.14644132240608, 0.800000000379648, 0, 0.375794619555102, 0, 1.52, 0, 1.32, 93.7486548887755, 0.00652335584512573, 0.774872774716136, 0.369714619555102, 0.227997481880444
62,0.0450282333833339,-6.7,0.73,0, 6.39122178945062E-09,-1.34,-1.18400225010978, 0.800000000543254, 0, 0.374994619555102, 0, 1.31999999999999, 0, 0.73, 93.1586548887755, 0.00607808414171085, 0.779056181551732, 0.369714619555102, 0.227997481880444
63,0.0444460614400714,-9.55,0.48,0, 9.11503687333675E-09,-1.91,-1.32488536278913, 0.800000000774778, 0, 0.372634619555102, 0, 0.730000000000004, 0, 0.48, 92.9086548887755, 0.00590594411216089, 0.79139723171674, 0.369714619555102, 0.227997481880444
64,0.0400155165173222,-8.01,0.59,0, 1.29564290946268E-08,-1.602,-1.37866069837755, 0.800000001101297, 0, 0.371634619555102, 0, 0.480000000000004, 0, 0.59, 93.0186548887755, 0.00528231457076161, 0.796626490261236, 0.369714619555102, 0.227997481880444
65,0.038171195168438,-7.43,0.23,0, 1.83554301823751E-08,-1.486,-1.39949037024185, 0.800000001560212, 0, 0.372074619555102, 0, 0.590000000000003, 0, 0.23, 92.6586548887755, 0.00505344760451215, 0.794325616501658, 0.369714619555102, 0.227997481880444
66,0.0378674677793773,-7.82,2.56,0, 2.59176823886771E-08,-1.564,-1.43141420010379, 0.800000002203003, 0, 0.370634619555102, 0, 0.230000000000004, 0, 2.56, 94.9886548887755, 0.00496615871072851, 0.801855748805731, 0.369714619555102, 0.227997481880444
67,0.0346183713226096,-7.01,0.6,0, 3.64737243357051E-08,-1.402,-1.42570624294935, 0.800000003100267, 0, 0.379954619555102, 0, 2.56, 0, 0.6, 93.0286548887755, 0.00483385446690557, 0.753119059171035, 0.369714619555102, 0.227997481880444
68,0.0366805318779861,-1.88,0.12,0, 5.11583361380311E-08,-0.376,-1.22200604967, 0.800000004348459, 0, 0.372114619555102, 0, 0.599999999999994, 0, 0.12, 92.5486548887755, 0.004857379230643, 0.794116446159878, 0.369714619555102, 0.227997481880444
69,0.0438500205324808,-0.34,4.15,0, 7.15163041281395E-08,-0.068,-0.998066012898375, 0.800000006078886, 0, 0.370194619555102, 0, 0.120000000000005, 0, 4.15, 96.5786548887755, 0.00573429109429635, 0.804156622565309, 0.369714619555102, 0.227997481880444
70,0.0464271904416221,0.8,0.17,0, 9.96428327797606E-08,0.892804672674891,-0.631134098466676, 0.800000008469641, 0, 0.386314619555102, 0, 4.15000000000001, 0, 0.17, 92.5986548887755, 0.00678225868266748, 0.719860974828045, 0.369714619555102, 0.227997481880444
71,0.0663611517041768,0.69,0.01,0, 1.38369197011889E-07,0.770044028762614,-0.359229216964114, 0.800000011761382, 0, 0.370394619555102, 0, 0.170000000000002, 0, 0.01, 92.4386548887755, 0.00868938503435779, 0.80311077085641, 0.369714619555102, 0.227997481880444
72,0.0786429079234509,1.27,3.85,0, 1.91507209124202E-07,1.41732741167378,-0.0144804613599316, 0.800000016278113, 0, 0.369754619555102, 0, 0.0100000000000051, 0, 3.85, 96.2786548887755, 0.0102548345510058, 0.806457496324887, 0.369714619555102, 0.227997481880444
73,0.0858021088995925,-0.27,2.07,0, 2.64169811075125E-07,-0.054,-0.0221494044153321, 0.800000022454433, 0, 0.385114619555102, 0, 3.84999999999999, 0, 2.07, 94.4986548887755, 0.0124259762835904, 0.72613608508144, 0.369714619555102, 0.227997481880444
74,0.089834536730482,-1.49,0.32,0, 3.63189760353105E-07,-0.298,-0.0756794442567137, 0.800000030871129, 0, 0.377994619555102, 0, 2.06999999999999, 0, 0.32, 92.7486548887755, 0.012375413770516, 0.763368405918246, 0.369714619555102, 0.227997481880444
75,0.0914792723992607,-3.78,0.06,0, 4.97664150768082E-07,-0.756,-0.207698683301954, 0.800000042301451, 0, 0.370994619555102, 0, 0.319999999999993, 0, 0.06, 92.4886548887755, 0.0120253529697631, 0.799973215729713, 0.369714619555102, 0.227997481880444
76,0.0856533204880189,-3.53,0.27,0, 6.79659624153231E-07,-0.706,-0.3043962743044, 0.800000057771065, 0, 0.369954619555102, 0, 0.0600000000000023, 0, 0.27, 92.6986548887755, 0.0111834777194147, 0.805411644615988, 0.369714619555102, 0.227997481880444
77,0.0806368389131124,-5.56,0.21,0, 9.25121845284432E-07,-1.112,-0.461115370295356, 0.800000078635351, 0, 0.370794619555102, 0, 0.269999999999996, 0, 0.21, 92.6386548887755, 0.0105862273756084, 0.801019067438612, 0.369714619555102, 0.227997481880444
78,0.0736439729921133,-6.22,0.07,0, 1.25504342614012E-06,-1.244,-0.613037608215928, 0.80000010667868, 0, 0.370554619555102, 0, 0.209999999999994, 0, 0.07, 92.4986548887755, 0.00965306034597296, 0.802274089489291, 0.369714619555102, 0.227997481880444
79,0.0673009268118471,-5.38,4.4,0, 1.69695732930476E-06,-1.076,-0.702877509654761, 0.800000144241352, 0, 0.369994619555102, 0, 0.0699999999999932, 0, 4.4, 96.8286548887755, 0.00878954758542343, 0.805202474274208, 0.369714619555102, 0.227997481880444
80,0.0563899861418165,-8.2,1.13,0, 2.28683822207643E-06,-1.64,-0.884730261008695, 0.800000194381211, 0, 0.387314619555102, 0, 4.40000000000001, 0, 1.13, 93.5586548887755, 0.00829793977450694, 0.71463171628355, 0.369714619555102, 0.227997481880444
81,0.0546999371933659,-8,0.43,0, 3.07151269412211E-06,-1.6,-1.02353149139857, 0.800000261078511, 0, 0.374234619555102, 0, 1.13, 0, 0.43, 92.8586548887755, 0.00734613274617354, 0.783030418045548, 0.369714619555102, 0.227997481880444
82,0.050508065661272,-7.42,1.99,0, 4.11170112192245E-06,-1.484,-1.11288741140083, 0.800000349494473, 0, 0.371434619555102, 0, 0.430000000000007, 0, 1.99, 94.4186548887755, 0.00665865908277691, 0.797672341970134, 0.369714619555102, 0.227997481880444
83,0.045352160126135,-7.47,2.01,0, 5.48583971223878E-06,-1.494,-1.18684395418978, 0.800000466296158, 0, 0.377674619555102, 0, 1.98999999999999, 0, 2.01, 94.4386548887755, 0.00623395134002253, 0.765041768652485, 0.369714619555102, 0.227997481880444
84,0.0428484420752541,-6.23,0.08,0, 7.29486134169596E-06,-1.246,-1.19832343709562, 0.80000062006283, 0, 0.377754619555102, 0, 2.01000000000001, 0, 0.08, 92.5086548887755, 0.00589302132763953, 0.764623427968924, 0.369714619555102, 0.227997481880444
85,0.0447122025734355,-1.83,0.01,0, 9.66814867866953E-06,-0.366,-1.03680758295054, 0.800000821791962, 0, 0.370034619555102, 0, 0.0799999999999983, 0, 0.01, 92.4386548887755, 0.0058409619057119, 0.804993303932428, 0.369714619555102, 0.227997481880444
86,0.0505736336777113,1.44,0,0, 1.27709131443802E-05,1.60704744152172,-0.523756664595903, 0.800001085526439, 0, 0.369754619555102, 0, 0.0100000000000051, 0, 0, 92.4286548887755, 0.00659467280270106, 0.806457496324887, 0.369714619555102, 0.227997481880444
87,0.0712784007298426,0.31,0.49,0, 1.68132989006467E-05,0.345961535425455,-0.354984380738517, 0.800001429128364, 0, 0.369714619555102, 0, 0, 0, 0.49, 92.9186548887755, 0.00929211151332675, 0.806666666666667, 0.369714619555102, 0.227997481880444
88,0.0778566908677851,1.94,0,0, 2.20615625061999E-05,2.16504906792761,0.13403777114448, 0.800001875229297, 0, 0.371674619555102, 0, 0.489999999999995, 0, 0, 92.4286548887755, 0.0102803008006962, 0.796417319919456, 0.369714619555102, 0.227997481880444
89,0.102985069893439,1.05,1.84,0, 2.88517362894749E-05,1.17180452915998,0.33542018395869, 0.80000245239157, 0, 0.369714619555102, 0, 0, 0, 1.84, 94.2686548887755, 0.013425508202472, 0.806666666666667, 0.369714619555102, 0.227997481880444
90,0.108422923193689,1.16,1.11,0, 3.76062467846904E-05,1.29456446418421,0.521545374663345, 0.800003196520759, 0, 0.377074619555102, 0, 1.84, 0, 1.11, 93.5386548887755, 0.0148425689811014, 0.768179323779181, 0.369714619555102, 0.227997481880444
91,0.120806345214038,4.32,0,0, 4.88540284672847E-05,4.82113404405962,1.35589368634852, 0.800004152575176, 0, 0.374154619555102, 0, 1.11, 0, 0, 92.4286548887755, 0.016215476916852, 0.783448758729108, 0.369714619555102, 0.227997481880444
92,0.1773194166034,2.35,0.38,0, 6.32547468932491E-05,2.62260584200681,1.6017025175553, 0.800005376624578, 0, 0.369714619555102, 0, 0, 0, 0.38, 92.8086548887755, 0.0231160039462978, 0.806666666666667, 0.369714619555102, 0.227997481880444
93,0.192780492199667,3.23,0.73,0, 8.16278232037666E-05,3.60468487720564,1.99038545049814, 0.800006938316832, 0, 0.371234619555102, 0, 0.379999999999995, 0, 0.73, 93.1586548887755, 0.0253816636708085, 0.798718193679034, 0.369714619555102, 0.227997481880444
94,0.219600996836244,3.8,0.11,0, 0.000104987032355441,4.24080102266719,2.42708178777917, 0.800008923818115, 0, 0.372634619555102, 0, 0.730000000000004, 0, 0.11, 92.5386548887755, 0.0291803406706445, 0.79139723171674, 0.369714619555102, 0.227997481880444
95,0.258260900566667,5.15,0,0, 0.000134581528396999,5.74739328990129,3.07139008927448, 0.800011439299054, 0, 0.370154619555102, 0, 0.109999999999999, 0, 0, 92.4286548887755, 0.0337641363457729, 0.804365792907089, 0.369714619555102, 0.227997481880444
96,0.315559771998712,7.3,1.38,0, 0.000171944229043695,8.14677600043966,4.05626604045492, 0.800014615045865, 0, 0.369714619555102, 0, 0, 0, 1.38, 93.8086548887755, 0.0411375193678321, 0.806666666666667, 0.369714619555102, 0.227997481880444
97,0.39803115055389,5.62,6.98,0, 0.000218948565423814,6.27188749159823,4.48620317963748, 0.80001861028171, 0, 0.375234619555102, 0, 1.38, 0, 6.98, 99.4086548887755, 0.0538144682364548, 0.777801159501053, 0.369714619555102, 0.227997481880444
98,0.376204588740372,-0.77,0.37,0, 0.000277874667162308,-0.154,3.58578851460981, 0.800023618788844, 0, 0.397634619555102, 0, 6.98, 0, 0.37, 92.7986548887755, 0.0598815262753077, 0.660665768104359, 0.369714619555102, 0.227997481880444
99,0.361223435784409,-3.02,0.05,0, 0.000351486103102337,-0.604,2.77278416529307, 0.800029875426187, 0, 0.371194619555102, 0, 0.370000000000005, 0, 0.05, 92.4786548887755, 0.0475465708370691, 0.798927364020813, 0.369714619555102, 0.227997481880444
100,0.288278688525448,-3.8,4.1,0, 0.000443118328301491,-0.76,2.08727715119135, 0.800037663639285, 0, 0.369914619555102, 0, 0.0499999999999972, 0, 4.1, 96.5286548887755, 0.0376298456078562, 0.805620814957768, 0.369714619555102, 0.227997481880444
101,0.206815210741902,-3.67,0.25,0, 0.0005567799920115,-0.734,1.53984141429893, 0.800047324059613, 0, 0.386114619555102, 0, 4.09999999999999, 0, 0.25, 92.6786548887755, 0.0301685138231991, 0.720906826536944, 0.369714619555102, 0.227997481880444
